,Unnamed: 0,starttime,endtime,text,question,
0,0,3.97211,6.62211,okay cool so i am just going to go down the list,0,
1,1,6.62211,6.77211,okay,0,
2,2,6.77211,7.96108,so i don't get confused,0,
3,3,8.23576,9.41297,um,0,
4,4,10.00211,11.45348,so where were you born,1/,
5,5,15.41211,15.81211,okay,0,
6,6,17.82211,18.43211,ha,0,
7,7,20.14473,20.64473,yeah,0,
8,8,25.82342,27.39304,yeah and where'd you move to what city,1f/,
9,9,30.02473,30.4437,okay,0,
10,10,32.0637,35.0537,yeah so you were you were living there your whole life,1f/,
11,11,39.18767,39.63893,okay,0,
12,12,42.54303,48.36303,yeah hoboken is that is that that's uh a town that has some time type of history in baseball right,1f/,
13,13,50.03303,50.65303,okay,0,
14,14,53.65705,67.94986,yeah okay cool um uh and for how many years did you live in your first home,2/,
15,15,70.125,78.4977,okay um so i assume that you don't remember too much of that,2f/?,
16,16,79.13702,79.94144,ha ha,0,
17,17,80.78511,81.84461,have you seen pictures of it,2f/,
18,18,93.37944,93.88944,yeah,0,
19,19,94.01944,94.91802,that's great,0,
20,20,96.55758,99.65758,okay um are your parents divorced,5/,
21,21,108.90346,114.61358,okay um do you mind sharing uh uh why they divorced,5f/,
22,22,137.59016,139.6699,yeah so do they live in different cities,5f/,
23,23,152.21514,154.62931,and that that's both um new jersey,5f/,
24,24,156.25691,165.59456,okay um ah um so what is your mother's job,3/,
25,25,181.96449,183.5186,where is she a secretary,3f/,
26,26,186.88442,187.72809,uh what firm,3f/,
27,27,188.77872,189.48505,which one,3f/,
28,28,203.45466,204.96542,okay what kind of law do they do,3f/,
29,29,213.36553,213.98345,uh huh,0,
30,30,216.46553,217.58227,yeah exactly,0,
31,31,218.58187,229.45401,um great um okay and what's your father's job,4/,
32,32,242.9592,243.7347,mhm,0,
33,33,249.90938,251.00811,cool so who owns it,4f/,
34,34,253.31305,257.52487,so is he actually going around with the bulldozers or whatever ha uh,4f/,
35,35,275.63783,276.55998,s- so,0,
36,36,282.47642,283.14351,uh huh,0,
37,37,289.69671,293.61787,cool so does he actually get in there and do work himself,4f/,
38,38,313.27887,316.95771,got it okay have you ever broken a bone,6/,
39,39,326.23238,327.42921,oh great,0,
40,40,341.36813,343.62445,yeah so where who were you swing dancing with,6f/,
41,41,357.01051,358.57883,was it with a club,6f/,
42,42,368.23549,368.84372,oh great # ha uh,0,
43,43,370.11397,377.81744,ha ha uh great okay do you have any allergies,7/,
44,44,381.60731,389.09816,um oh golly like uh uh total questioned you on that,0,
45,45,385.71237,391.14717,oh golly like uh uh total questioned you on that okay ha,0,overlap
46,46,395.82438,398.47311,have you ever stayed over overnight in the hospital as a patient,8/,
